ID,Lon,Lat
Boophis_luteus_5_DQ792484_LR72_,48.4587,-18.835
Boophis_luteus_5_DQ792485_LR73_,48.4587,-18.835
Boophis_luteus_5_JX570039_FGMV2002_1612,48.4587,-18.835
Boophis_luteus_5_JX570040_FGMV2002_1611,48.4587,-18.835
Boophis_luteus_5_JX570041_ZCMV3484_,48.46666667,-18.93333333
Boophis_luteus_5_JX570042_ZCMV3456_,48.46666667,-18.93333333
Boophis_luteus_5_JX570043_ZCMV3460_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_AY848578_20011270,48.4587,-18.835
Boophis_madagascariensis_a_1_AY848583_FAb13_,49.883,-16.983
Boophis_madagascariensis_a_1_JX570058_ZCMV1405_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570059_ZCMV1406_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570060_ZCMV1408_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570061_ZCMV1420_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570062_ZCMV1434_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570063_ZCMV1439_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570064_ZCMV1440_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570065_ZCMV1443_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570066_ZCMV1477_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570067_ZCMV2362_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570068_ZCMV2454_,48.46666667,-18.93333333
Boophis_madagascariensis_a_1_JX570074_MV20011270_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570075_MV20011293_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570076_MV20011294_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570078_ZCMV2335_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570079_ZCMV8768_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570080_ZCMV8769_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570081_ZCMV8770_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570082_ZCMV8771_,48.4587,-18.835
Boophis_madagascariensis_a_1_JX570086_MPFC112_,48.5112,-18.9302
Boophis_madagascariensis_a_1_JX570087_MPFC127_,48.5112,-18.9302
Boophis_madagascariensis_a_43_DQ792486_LR18_,48.4587,-18.835
Boophis_madagascariensis_a_43_DQ792487_LR5_,48.4587,-18.835
Boophis_madagascariensis_a_43_GU974597_ZCMV4057_,1,-1
Boophis_madagascariensis_a_43_GU974606_ZCMV4085_,1,-1
Boophis_madagascariensis_a_43_GU974607_T14_,1,-1
Boophis_madagascariensis_a_43_GU974617_ZCMV4217_,1,-1
Boophis_madagascariensis_a_43_GU974618_ZCMV4219_,1,-1
Boophis_madagascariensis_a_43_GU974619_ZCMV4228_,1,-1
Boophis_madagascariensis_a_43_GU974620_ZCMV4230_,1,-1
Boophis_madagascariensis_a_43_GU974631_T67_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974632_T76_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974635_T108_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974636_T110_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974637_T111_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974638_T114_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974642_T42_,47.4123833,-21.2654667
Boophis_madagascariensis_a_43_GU974645_T364_,47.429167,-21.288889
Boophis_madagascariensis_a_43_JX570045_FGMV2002_1845,47.3964,-21.3201
Boophis_madagascariensis_a_43_JX570046_FGMV2002_1832,47.3964,-21.3201
Boophis_madagascariensis_a_43_JX570048_Tad2004594_,1,-1
Boophis_madagascariensis_a_43_JX570049_Tad2004608_,1,-1
Boophis_madagascariensis_a_43_JX570050_Tad2004598_,1,-1
Boophis_madagascariensis_a_43_JX570052_Tad2004607_,1,-1
Boophis_madagascariensis_a_43_JX570053_ZCMV2637_,48.41666667,-20.73333333
Boophis_madagascariensis_a_43_JX570073_ZCMV2998_,47.39683333,-21.23693333
Boophis_madagascariensis_a_43_KF609782_ZCMV9604_,47.4262167,-21.2438667
Boophis_madagascariensis_a_43_KF609785_ZCMV9618_,47.4262167,-21.2438667
Boophis_madagascariensis_a_43_KF609790_ZCMV9471_,1,-1
Boophis_madagascariensis_a_43_KF609796_ZCMV10529_,1,-1
Boophis_madagascariensis_a_43_KF609801_ZCMV10452_,1,-1
Boophis_madagascariensis_a_43_KF609823_ZCMV10222_,1,-1
Boophis_madagascariensis_a_43_KF609825_ZCMV10228_,1,-1
Boophis_madagascariensis_a_43_KF609826_ZCMV10229_,1,-1
Boophis_madagascariensis_a_43_KF609827_ZCMV10233_,1,-1
Boophis_madagascariensis_a_43_KF609828_ZCMV10234_,1,-1
Boophis_madagascariensis_a_43_KF609830_ZCMV9852_,1,-1
Boophis_madagascariensis_a_43_KF609831_ZCMV9863_,1,-1
Boophis_madagascariensis_a_43_KF609832_ZCMV9878_,1,-1
Boophis_madagascariensis_a_43_KF609847_ZCMV9845_,47.52254722,-21.23531944
Boophis_madagascariensis_a_43_KF609866_ZCMV10575_,1,-1
Boophis_madagascariensis_a_43_KF609872_ZCMV10660_,1,-1
Boophis_madagascariensis_a_43_KF609875_ZCMV10674_,1,-1
Boophis_madagascariensis_a_43_KF609890_ZCMV9887_,47.429167,-21.288889
Boophis_madagascariensis_a_43_KF609891_ZCMV9918_,47.429167,-21.288889
Boophis_madagascariensis_a_43_KF609893_ZCMV9928_,47.429167,-21.288889
Boophis_madagascariensis_a_43_KF609894_ZCMV9961_,47.429167,-21.288889
Boophis_madagascariensis_a_43_KF609895_ZCMV9962_,47.429167,-21.288889
Boophis_marojezensis_b_2_KF611028_ZCMV9635,47.42621667,-21.24386667
Boophis_marojezensis_b_2_KF611029_T0853,1,-1
Boophis_marojezensis_b_2_KF611030_T0845,1,-1
Boophis_marojezensis_b_2_KF611031_ZCMV9188,1,-1
Boophis_marojezensis_b_2_KF611032_ZCMV9720,47.52254722,-21.24525
Boophis_marojezensis_b_2_KF611033_ZCMV9745,47.52254722,-21.24525
Boophis_marojezensis_b_2_KF611034_ZCMV9746,47.52254722,-21.24525
Boophis_marojezensis_b_2_KF611035_ZCMV9748,47.52254722,-21.24525
Boophis_marojezensis_b_2_KF611036_T0889,47.416667,-21.25
Boophis_marojezensis_b_2_KF611037_T08107,47.416667,-21.25
Boophis_marojezensis_b_2_KF611038_T08110,47.416667,-21.25
Boophis_marojezensis_b_2_KF611039_T08115,47.416667,-21.25
Boophis_marojezensis_b_2_KF611040_T08116,47.416667,-21.25
Boophis_marojezensis_b_2_KF611041_T08119,47.416667,-21.25
Boophis_marojezensis_b_2_KF611042_T08120,47.416667,-21.25
Boophis_marojezensis_b_2_KF611043_ZCMV9557,1,-1
Boophis_marojezensis_b_2_KF611044_ZCMV931,1,-1
Boophis_quasiboehmei_2_KF610256_ZCMV10425,1,-1
Boophis_quasiboehmei_2_KF610257_ZCMV10426,1,-1
Boophis_quasiboehmei_2_KF610258_ZCMV10434,1,-1
Boophis_quasiboehmei_2_KF610259_ZCMV10435,1,-1
Boophis_quasiboehmei_2_KF610260_ZCMV10437,1,-1
Boophis_quasiboehmei_2_KF610265_ZCMV09239,1,-1
Boophis_quasiboehmei_2_KF610266_ZCMV09240,1,-1
Boophis_quasiboehmei_2_KF610267_ZCMV09241,1,-1
Boophis_quasiboehmei_2_KF610268_ZCMV10094,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610271_ZCMV10103,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610272_ZCMV10104,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610273_ZCMV10106,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610274_ZCMV10107,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610275_ZCMV10108,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610276_ZCMV10109,47.31888889,-20.82777778
Boophis_quasiboehmei_2_KF610277_ZCMV10113,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610278_ZCMV10117,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610279_ZCMV10118,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610280_ZCMV10121,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610281_ZCMV10122,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610282_ZCMV10126,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610283_ZCMV10127,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610284_ZCMV10130,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610285_ZCMV10131,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610286_ZCMV10132,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610287_ZCMV10133,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610288_ZCMV10138,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610289_ZCMV10139,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610290_ZCMV10140,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610291_ZCMV10141,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610292_ZCMV10142,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610293_ZCMV10143,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610294_ZCMV10144,47.31861111,-20.82833333
Boophis_quasiboehmei_2_KF610296_T08_312,47.42246667,-21.25195
Boophis_quasiboehmei_2_KF610297_T08_314,47.42246667,-21.25195
Boophis_quasiboehmei_2_KF610301_ZCMV09212,47.42246667,-21.25195
Boophis_quasiboehmei_2_KF610302_ZCMV09213,47.42246667,-21.25195
Boophis_quasiboehmei_2_KF610303_ZCMV09219,47.42246667,-21.25195
Boophis_quasiboehmei_2_KF610305_ZCMV09223,47.42246667,-21.25195
Boophis_quasiboehmei_3_KF611303_T08_209,47.42621667,-21.24386667
Boophis_quasiboehmei_3_KF611304_T08_211,47.42621667,-21.24386667
Boophis_quasiboehmei_3_KF611306_T08_214,47.42621667,-21.24386667
Boophis_quasiboehmei_3_KF611307_T08_216,47.42621667,-21.24386667
Boophis_quasiboehmei_3_KF611308_T08_217,47.42621667,-21.24386667
Boophis_quasiboehmei_3_KF611326_T08_197,1,-1
Boophis_quasiboehmei_3_KF611327_T08_200,1,-1
Boophis_quasiboehmei_3_KF611328_T08_201,1,-1
Boophis_quasiboehmei_3_KF611331_T08_50,1,-1
Boophis_quasiboehmei_3_KF611344_T08_77,1,-1
Boophis_quasiboehmei_3_KF611346_T08_84,1,-1
Boophis_quasiboehmei_3_KF611349_T08_31,1,-1
Boophis_quasiboehmei_3_KF611354_ZCMV09789,47.52254722,-21.24525
Boophis_quasiboehmei_3_KF611356_T08_90,47.416667,-21.25
Boophis_quasiboehmei_3_KF611357_T08_94,47.416667,-21.25
Boophis_quasiboehmei_3_KF611358_T08_103,47.416667,-21.25
Boophis_quasiboehmei_3_KF611359_T08_112,47.416667,-21.25
Boophis_quasiboehmei_3_KF611360_T08_126,47.416667,-21.25
Boophis_quasiboehmei_3_KF611361_ZCMV09556,1,-1
Boophis_quasiboehmei_3_KF611362_ZCMV09571,1,-1
Boophis_quasiboehmei_3_KF611366_T08_171,1,-1
Boophis_quasiboehmei_3_KF611367_T08_172,1,-1
Boophis_quasiboehmei_3_KF611368_T08_177,1,-1
Boophis_quasiboehmei_3_KF611369_T08_179,1,-1
Boophis_quasiboehmei_3_KF611370_T08_180,1,-1
Boophis_quasiboehmei_3_KF611371_T08_185,1,-1
Boophis_quasiboehmei_3_KF611372_ZCMV09373,1,-1
Boophis_quasiboehmei_3_KF611373_ZCMV09376,1,-1
Boophis_quasiboehmei_3_KF611374_ZCMV09377,1,-1
Boophis_quasiboehmei_3_KF611375_ZCMV09379,1,-1
Boophis_quasiboehmei_3_KF611376_ZCMV09382,1,-1
Boophis_quasiboehmei_3_KF611377_ZCMV09383,1,-1
Boophis_quasiboehmei_3_KF611378_ZCMV09959,1,-1
Boophis_quasiboehmei_3_KF611379_ZCMV09960,47.35,-21.5
